,difference,normalized difference,std,-log(p),electrode A,electrode B,drowsiness,seperation,chunk,atom,participant
123075,0.006213817740501429,2.9521294710918093,0.003731963874812461,0.1132346756531343,60,10,light drowsy,neighbours,post2,sts,1
123076,-0.015704942793413498,-7.461278460109067,0.0005456476078608336,1.5915024868854808,60,10,light drowsy,neighbours,post2,sts,2
123077,-0.0024087245411729017,-1.1443635785115258,0.001972735991504085,0.07030392945939695,60,10,light drowsy,neighbours,post2,sts,3
123078,-0.0048527406346917145,-2.3054938592521608,0.0009885030209099948,0.2412943216695531,60,10,light drowsy,neighbours,post2,sts,4
123079,0.019951308003510356,9.478688755238563,0.0067461995677642545,0.4365813124300364,60,10,light drowsy,neighbours,post2,sts,5
123080,0.001594798544117747,0.7576745857635008,0.0006178931521544116,0.07652569129306278,60,10,light drowsy,neighbours,post2,sts,6
123081,-0.015408180645483298,-7.320289406455468,0.0009009382717742406,1.3444749344560405,60,10,light drowsy,neighbours,post2,sts,7
123082,0.00031116893793300265,0.14783359128364573,0.002119754772847948,0.009362918752856995,60,10,light drowsy,neighbours,post2,sts,8
123083,-0.01192288742138975,-5.6644576341169275,0.002025909547450716,0.4668386548711157,60,10,light drowsy,neighbours,post2,sts,9
123084,-0.007139338534920706,-3.3918361582552747,0.014654078403504706,0.06955755176860193,60,10,light drowsy,neighbours,post2,sts,10
123085,,,,,60,10,light drowsy,neighbours,post2,sts,11
123086,7.556705623690522e-05,0.03590123545249303,0.0003689685278273704,0.005506769153386893,60,10,light drowsy,neighbours,post2,sts,12
123087,0.02657989729506606,12.627872496470426,0.0019116300081131745,1.9148801309849983,60,10,light drowsy,neighbours,post2,sts,13
123088,-0.0044165232479823,-2.098250863579166,0.000991393848269746,0.26178596765748235,60,10,light drowsy,neighbours,post2,sts,14
123089,-0.01828185011841653,-8.685544181459296,0.0016470626899570374,1.1368655673566543,60,10,light drowsy,neighbours,post2,sts,15
123090,-0.01623950952364662,-7.715246353035878,0.002320536315801325,0.6772500760913952,60,10,light drowsy,neighbours,post2,sts,16
123091,-0.012900505090380716,-6.12891508243845,0.0017267823502103458,0.6679039005546283,60,10,light drowsy,neighbours,post2,sts,17
123092,0.0130790525831469,6.213741406189309,0.0020297932107570123,0.4957942964992477,60,10,light drowsy,neighbours,post2,sts,18
123093,0.01575863173968231,7.486785600352168,0.0010682313251429369,1.137821219826464,60,10,light drowsy,neighbours,post2,sts,19
123094,-0.005710293017568272,-2.712909359387285,0.00030496044103907446,0.6495621413757652,60,10,light drowsy,neighbours,post2,sts,20
123095,0.0013508330804281252,0.6417687666094628,0.0005046826609393262,0.08795096047186426,60,10,light drowsy,neighbours,post2,sts,21
123096,-0.008714602211174281,-4.140229902265111,0.0004244957704631703,0.8648865827422125,60,10,light drowsy,neighbours,post2,sts,22
123097,-0.0018890806639729754,-0.8974854001646785,0.0007218216954555602,0.0941531435379952,60,10,light drowsy,neighbours,post2,sts,23
123098,0.006202907696455566,2.9469462063254848,0.00046752068420368847,0.4951947836668597,60,10,light drowsy,neighbours,post2,sts,24
123099,0.009295262524679116,4.416096446115929,0.0004083209700183873,1.2742189733460374,60,10,light drowsy,neighbours,post2,sts,25
123100,-0.012314522149072818,-5.850519805519286,0.0007600264222947901,1.0967368031220337,60,10,light drowsy,neighbours,post2,sts,26
123101,0.0033513159676839825,1.592180370958561,0.0008438737001395318,0.1785133395387843,60,10,light drowsy,neighbours,post2,sts,27
123102,-0.0067371812269749285,-3.200774802679391,0.0004206169644023346,0.7112495478995929,60,10,light drowsy,neighbours,post2,sts,28
123103,-0.015886591658127946,-7.547578218053148,0.000886300010672822,1.442184103811701,60,10,light drowsy,neighbours,post2,sts,29
123104,-0.024434651830233644,-11.608685480704048,0.004331407165671374,0.7441947200147869,60,10,light drowsy,neighbours,post2,sts,30
123105,0.0132508609319118,0.17780538030930046,0.003977974885085361,0.28760714696739553,75,67,light drowsy,neighbours,post2,sts,1
123106,0.0022225188460458095,0.029822651576854767,0.0006932342686662678,0.1084543032578423,75,67,light drowsy,neighbours,post2,sts,2
123107,0.004581859842213848,0.06148123778182349,0.001995552470348565,0.098656174027775,75,67,light drowsy,neighbours,post2,sts,3
123108,-0.004015242066950711,-0.05387813262976178,0.001166619591611956,0.1594537606741924,75,67,light drowsy,neighbours,post2,sts,4
123109,0.0060093523212707825,0.08063590587709604,0.011390009892270505,0.09619343471822864,75,67,light drowsy,neighbours,post2,sts,5
123110,-0.009537562843749514,-0.12797885340209855,0.0005392656036493309,0.7610032694037877,75,67,light drowsy,neighbours,post2,sts,6
123111,-0.023923666548443644,-0.3210173777308815,0.0012734169064720171,1.4606626487296093,75,67,light drowsy,neighbours,post2,sts,7
123112,-0.00827223026174153,-0.11100011201180472,0.0017894215564796614,0.27887965004983584,75,67,light drowsy,neighbours,post2,sts,8
123113,0.006477415730932357,0.0869165689216622,0.002572850124169468,0.1736578837803938,75,67,light drowsy,neighbours,post2,sts,9
123114,-0.03153167794987262,-0.4231047339849029,0.006619871904849834,0.7996072100410049,75,67,light drowsy,neighbours,post2,sts,10
123115,,,,,75,67,light drowsy,neighbours,post2,sts,11
123116,-0.008207121057449999,-0.11012645052745457,0.00046391720959155,0.7446817081578118,75,67,light drowsy,neighbours,post2,sts,12
123117,-0.019570521097946037,-0.26260512162581684,0.002132787629451722,0.7878258127272009,75,67,light drowsy,neighbours,post2,sts,13
123118,0.011223052365458895,0.1505954295592856,0.0015361386432654266,0.4566233908407617,75,67,light drowsy,neighbours,post2,sts,14
123119,-0.0232367329068002,-0.3117998259033232,0.002036086754460452,1.2687471061091988,75,67,light drowsy,neighbours,post2,sts,15
123120,0.011325742458436773,0.1519733665197405,0.0024904834951760147,0.3637564629851607,75,67,light drowsy,neighbours,post2,sts,16
123121,-0.0044644519391905954,-0.059905811327977586,0.001657802298603583,0.15805605269294212,75,67,light drowsy,neighbours,post2,sts,17
