,Accuracy,Strategy,Time period,Drowsiness
470,0.5312232677502139,PhiID prediction,pre1,awake
471,0.5568862275449101,PhiID prediction,pre1,awake
472,0.5363558597091531,PhiID prediction,pre1,awake
473,0.5483319076133447,PhiID prediction,pre1,awake
474,0.5543199315654406,PhiID prediction,pre1,awake
475,0.5337895637296834,PhiID prediction,pre1,awake
476,0.5380667236954663,PhiID prediction,pre1,awake
477,0.5688622754491018,PhiID prediction,pre1,awake
478,0.5295124037639007,PhiID prediction,pre1,awake
479,0.544054747647562,PhiID prediction,pre1,awake
480,0.5397775876817793,PhiID prediction,pre1,awake
481,0.5508982035928144,PhiID prediction,pre1,awake
482,0.5431993156544055,PhiID prediction,pre1,awake
483,0.5363558597091531,PhiID prediction,pre1,awake
484,0.5355004277159966,PhiID prediction,pre1,awake
485,0.5389221556886228,PhiID prediction,pre1,awake
486,0.5278015397775877,PhiID prediction,pre1,awake
487,0.5483319076133447,PhiID prediction,pre1,awake
488,0.5466210436270317,PhiID prediction,pre1,awake
489,0.5594525235243798,PhiID prediction,pre1,awake
490,0.5363558597091531,PhiID prediction,pre1,awake
491,0.5303678357570573,PhiID prediction,pre1,awake
492,0.5389221556886228,PhiID prediction,pre1,awake
493,0.5483319076133447,PhiID prediction,pre1,awake
494,0.5329341317365269,PhiID prediction,pre1,awake
495,0.544054747647562,PhiID prediction,pre1,awake
496,0.5183917878528657,PhiID prediction,pre1,awake
497,0.5363558597091531,PhiID prediction,pre1,awake
498,0.5355004277159966,PhiID prediction,pre1,awake
499,0.5337895637296834,PhiID prediction,pre1,awake
500,0.5346449957228401,PhiID prediction,pre1,awake
501,0.5431993156544055,PhiID prediction,pre1,awake
502,0.5560307955517536,PhiID prediction,pre1,awake
503,0.5278015397775877,PhiID prediction,pre1,awake
504,0.523524379811805,PhiID prediction,pre1,awake
505,0.5414884516680923,PhiID prediction,pre1,awake
506,0.5218135158254918,PhiID prediction,pre1,awake
507,0.5483319076133447,PhiID prediction,pre1,awake
508,0.5243798118049615,PhiID prediction,pre1,awake
509,0.5585970915312233,PhiID prediction,pre1,awake
510,0.5312232677502139,PhiID prediction,pre1,awake
511,0.5500427715996579,PhiID prediction,pre1,awake
512,0.5500427715996579,PhiID prediction,pre1,awake
513,0.5466210436270317,PhiID prediction,pre1,awake
514,0.5337895637296834,PhiID prediction,pre1,awake
515,0.5620188195038495,PhiID prediction,pre1,awake
516,0.5303678357570573,PhiID prediction,pre1,awake
517,0.5329341317365269,PhiID prediction,pre1,awake
518,0.5303678357570573,PhiID prediction,pre1,awake
519,0.5183917878528657,PhiID prediction,pre1,awake
520,0.5201026518391788,PhiID prediction,pre1,awake
521,0.5346449957228401,PhiID prediction,pre1,awake
522,0.5526090675791274,PhiID prediction,pre1,awake
523,0.5560307955517536,PhiID prediction,pre1,awake
